case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.1981,0.0139,0,1065,2,0,0,0.0,5,0,0,0.0,38,1,0,0.0263,11,0,0,0.0,16,0,2,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,50,0,0.4673,72,1
DER0001,DER,0.2275,0.1429,13,1490,7,3,0,0.4286,14,0,0,0.0,11,2,0,0.1818,16,2,0,0.125,20,3,6,0.15,22,3,0,0.1364,32,7,0,0.2188,2,0,0,0.0,127,50,0,0.3937,70,10
GAS0007,GAS,0.1558,0.1143,10,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,2,1,0.1333,16,0,0,0.0,28,8,0,0.2857,0,0,0,,71,20,0,0.2817,35,4
GEN0001,GEN,0.1158,0.0,2,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,0,5,0.0,13,1,0,0.0769,55,2,0,0.0364,1,0,0,0.0,121,29,0,0.2397,46,0
MSK0008,MSK,0.2352,0.018,4,1420,0,0,0,,3,0,0,0.0,52,0,0,0.0,48,1,0,0.0208,8,1,1,0.125,8,0,0,0.0,58,3,0,0.0517,0,0,0,,133,74,0,0.5564,111,2
MSK0013,MSK,0.2039,0.0326,2,1579,4,1,0,0.25,8,0,0,0.0,38,1,0,0.0263,33,0,0,0.0,9,1,3,0.1111,13,0,0,0.0,59,0,1,0.0,0,0,0,,151,67,0,0.4437,92,3
MSK0017,MSK,0.1344,0.0,2,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,0,0,0.0,17,0,0,0.0,11,0,0,0.0,79,2,3,0.0253,0,0,0,,319,100,0,0.3135,109,0
MSK0025,MSK,0.1778,0.043,6,1524,2,0,0,0.0,2,0,0,0.0,40,3,0,0.075,29,0,0,0.0,20,1,3,0.05,13,0,0,0.0,40,5,1,0.125,0,0,0,,143,43,0,0.3007,93,4
MSK0026,MSK,0.142,0.0521,5,1352,2,1,0,0.5,6,1,0,0.1667,52,1,0,0.0192,24,0,0,0.0,12,2,2,0.1667,7,0,0,0.0,41,2,0,0.0488,0,0,0,,127,64,0,0.5039,96,5
MSK0041,MSK,0.175,0.0278,4,1566,3,1,0,0.3333,12,0,0,0.0,44,1,0,0.0227,36,0,0,0.0,11,0,2,0.0,9,0,0,0.0,63,3,1,0.0476,2,1,0,0.5,142,57,0,0.4014,108,3
