case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
RES0100,RES,0.1115,0.0093,2,1722,0,0,0,,4,1,0,0.25,56,0,0,0.0,26,0,0,0.0,22,0,2,0.0,35,0,0,0.0,71,2,0,0.0282,0,0,0,,194,54,0,0.2784,108,1
RES0104,RES,0.1606,0.0109,2,1526,3,0,0,0.0,11,0,0,0.0,47,1,0,0.0213,17,0,0,0.0,14,0,1,0.0,20,0,0,0.0,52,2,0,0.0385,0,0,0,,169,64,0,0.3787,92,1
RES0106,RES,0.1631,0.0349,2,1257,0,0,0,,5,0,0,0.0,39,3,0,0.0769,13,0,0,0.0,28,0,4,0.0,25,0,0,0.0,69,2,0,0.029,1,0,0,0.0,141,61,0,0.4326,86,3
RES0109,RES,0.1755,0.0167,5,872,3,0,0,0.0,2,0,0,0.0,29,0,0,0.0,16,0,0,0.0,9,1,1,0.1111,11,0,0,0.0,44,4,0,0.0909,1,0,0,0.0,150,95,0,0.6333,60,1
RES0118,RES,0.1223,0.0,6,981,0,0,0,,5,0,0,0.0,31,0,0,0.0,18,0,0,0.0,8,0,0,0.0,18,0,0,0.0,46,6,0,0.1304,0,0,0,,121,81,0,0.6694,62,0
RES0123,RES,0.1244,0.0112,4,1753,1,0,0,0.0,5,0,0,0.0,41,0,0,0.0,20,0,0,0.0,21,1,7,0.0476,22,0,0,0.0,59,3,3,0.0508,1,0,0,0.0,228,82,0,0.3596,89,1
RES0127,RES,0.1745,0.0769,6,1421,1,0,0,0.0,8,1,0,0.125,40,2,0,0.05,18,1,0,0.0556,11,2,1,0.1818,25,0,0,0.0,53,4,0,0.0755,0,0,0,,177,46,0,0.2599,78,6
RES0132,RES,0.1165,0.0238,4,1391,5,2,0,0.4,17,0,0,0.0,32,0,0,0.0,14,0,0,0.0,16,0,0,0.0,20,0,0,0.0,40,2,0,0.05,0,0,0,,216,102,0,0.4722,84,2
RES0134,RES,0.116,0.008,1,1741,3,0,0,0.0,10,0,0,0.0,65,0,0,0.0,23,0,0,0.0,24,1,1,0.0417,22,0,0,0.0,46,0,0,0.0,0,0,0,,243,115,0,0.4733,125,1
RES0143,RES,0.1697,0.0253,7,1155,2,0,0,0.0,7,0,0,0.0,39,0,0,0.0,18,1,0,0.0556,13,1,0,0.0769,23,0,0,0.0,51,6,3,0.1176,0,0,0,,165,103,0,0.6242,79,2
RES0155,RES,0.1409,0.0123,3,1498,6,0,0,0.0,12,0,0,0.0,38,1,0,0.0263,10,0,0,0.0,14,0,0,0.0,16,0,0,0.0,44,3,0,0.0682,1,0,0,0.0,266,84,0,0.3158,81,1
RES0160,RES,0.1346,0.0448,3,1107,2,1,0,0.5,6,0,0,0.0,37,1,0,0.027,8,0,0,0.0,14,1,5,0.0714,15,0,0,0.0,38,1,0,0.0263,0,0,0,,92,41,0,0.4457,67,3
RES0163,RES,0.1149,0.0185,1,1166,0,0,0,,5,0,0,0.0,26,0,0,0.0,17,1,0,0.0588,6,0,0,0.0,19,0,0,0.0,42,1,3,0.0238,0,0,0,,124,11,0,0.0887,54,1
RES0173,RES,0.1425,0.0448,6,1221,0,0,0,,6,0,0,0.0,39,1,0,0.0256,13,1,0,0.0769,8,1,0,0.125,13,0,0,0.0,53,5,0,0.0943,1,0,0,0.0,141,55,0,0.3901,67,3
RES0207,RES,0.1553,0.0541,2,805,0,0,0,,6,1,0,0.1667,20,1,0,0.05,4,0,0,0.0,7,0,0,0.0,10,0,0,0.0,37,2,0,0.0541,0,0,0,,92,41,0,0.4457,37,2
