case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
RES0104,RES,0.175,0.0761,15,1526,3,0,0,0.0,11,0,0,0.0,47,5,0,0.1064,17,2,0,0.1176,14,0,2,0.0,20,0,0,0.0,52,15,0,0.2885,0,0,0,,169,82,0,0.4852,92,7
RES0106,RES,0.1702,0.1163,8,1257,0,0,0,,5,0,0,0.0,39,6,0,0.1538,13,2,0,0.1538,28,2,5,0.0714,25,2,0,0.08,69,6,0,0.087,1,0,0,0.0,141,70,0,0.4965,86,10
RES0109,RES,0.2179,0.05,8,872,3,0,0,0.0,2,0,0,0.0,29,2,0,0.069,16,0,0,0.0,9,0,2,0.0,11,3,0,0.2727,44,8,0,0.1818,1,1,0,1.0,150,91,0,0.6067,60,3
RES0118,RES,0.1916,0.0806,12,981,0,0,0,,5,0,0,0.0,31,4,0,0.129,18,1,0,0.0556,8,0,1,0.0,18,0,0,0.0,46,12,1,0.2609,0,0,0,,121,80,0,0.6612,62,5
RES0123,RES,0.194,0.0562,26,1753,1,0,0,0.0,5,1,0,0.2,41,1,0,0.0244,20,2,0,0.1,21,1,9,0.0476,22,1,0,0.0455,59,25,0,0.4237,1,0,0,0.0,228,137,0,0.6009,89,5
RES0127,RES,0.1759,0.0769,26,1421,1,0,0,0.0,8,1,0,0.125,40,4,0,0.1,18,1,0,0.0556,11,0,2,0.0,25,1,0,0.04,53,26,0,0.4906,0,0,0,,177,62,0,0.3503,78,6
RES0132,RES,0.1747,0.119,8,1391,5,2,0,0.4,17,1,0,0.0588,32,3,0,0.0938,14,4,0,0.2857,16,0,1,0.0,20,0,0,0.0,40,6,1,0.15,0,0,0,,216,116,0,0.537,84,10
RES0134,RES,0.1654,0.088,4,1741,3,0,0,0.0,10,0,0,0.0,65,7,0,0.1077,23,2,0,0.087,24,2,1,0.0833,22,0,0,0.0,46,2,0,0.0435,0,0,0,,243,118,0,0.4856,125,11
RES0143,RES,0.1671,0.0759,10,1155,2,0,0,0.0,7,0,0,0.0,39,2,0,0.0513,18,3,0,0.1667,13,1,0,0.0769,23,1,0,0.0435,51,9,3,0.1765,0,0,0,,165,86,0,0.5212,79,6
RES0155,RES,0.229,0.0494,18,1498,6,1,0,0.1667,12,0,0,0.0,38,2,0,0.0526,10,1,0,0.1,14,0,2,0.0,16,2,0,0.125,44,17,0,0.3864,1,0,0,0.0,266,176,0,0.6617,81,4
RES0160,RES,0.1996,0.0448,12,1107,2,1,0,0.5,6,0,0,0.0,37,2,0,0.0541,8,0,0,0.0,14,0,5,0.0,15,0,0,0.0,38,11,0,0.2895,0,0,0,,92,48,0,0.5217,67,3
RES0163,RES,0.205,0.1481,23,1166,0,0,0,,5,0,0,0.0,26,2,0,0.0769,17,2,0,0.1176,6,4,0,0.6667,19,3,0,0.1579,42,19,0,0.4524,0,0,0,,124,57,0,0.4597,54,8
RES0173,RES,0.1949,0.1194,13,1221,0,0,0,,6,0,0,0.0,39,2,0,0.0513,13,2,0,0.1538,8,4,1,0.5,13,1,0,0.0769,53,9,0,0.1698,1,0,0,0.0,141,60,0,0.4255,67,8
RES0207,RES,0.2137,0.0811,14,805,0,0,0,,6,0,0,0.0,20,1,0,0.05,4,1,0,0.25,7,1,1,0.1429,10,0,0,0.0,37,13,0,0.3514,0,0,0,,92,54,0,0.587,37,3
