case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.1502,0.0278,1,1065,2,1,0,0.5,5,0,0,0.0,38,1,0,0.0263,11,0,0,0.0,16,0,2,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,62,0,0.5794,72,2
DER0001,DER,0.1309,0.0429,5,1490,7,3,0,0.4286,14,0,0,0.0,11,0,0,0.0,16,0,0,0.0,20,0,6,0.0,22,0,0,0.0,32,2,0,0.0625,2,0,0,0.0,127,45,0,0.3543,70,3
GAS0007,GAS,0.1377,0.0571,8,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,0,3,0.0,16,0,0,0.0,28,8,0,0.2857,0,0,0,,71,21,0,0.2958,35,2
GEN0001,GEN,0.1139,0.0,4,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,0,5,0.0,13,0,0,0.0,55,4,0,0.0727,1,0,0,0.0,121,35,0,0.2893,46,0
MSK0008,MSK,0.2204,0.009,3,1420,0,0,0,,3,0,0,0.0,52,1,0,0.0192,48,0,0,0.0,8,0,0,0.0,8,0,0,0.0,58,3,0,0.0517,0,0,0,,133,81,0,0.609,111,1
MSK0013,MSK,0.1539,0.0435,4,1579,4,1,0,0.25,8,1,0,0.125,38,1,0,0.0263,33,0,0,0.0,9,1,3,0.1111,13,0,0,0.0,59,2,1,0.0339,0,0,0,,151,77,0,0.5099,92,4
MSK0017,MSK,0.1894,0.0,5,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,0,0,0.0,17,0,0,0.0,11,0,0,0.0,79,5,0,0.0633,0,0,0,,319,187,0,0.5862,109,0
MSK0025,MSK,0.1096,0.0,1,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,2,0.0,13,0,0,0.0,40,1,1,0.025,0,0,0,,143,55,0,0.3846,93,0
MSK0026,MSK,0.142,0.0312,3,1352,2,0,0,0.0,6,1,0,0.1667,52,0,0,0.0,24,0,0,0.0,12,2,2,0.1667,7,0,0,0.0,41,1,0,0.0244,0,0,0,,127,59,0,0.4646,96,3
MSK0041,MSK,0.1673,0.037,6,1566,3,1,0,0.3333,12,1,0,0.0833,44,0,0,0.0,36,1,0,0.0278,11,1,2,0.0909,9,0,0,0.0,63,4,1,0.0635,2,0,0,0.0,142,70,0,0.493,108,4
