case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.2573,0.0,0,1065,2,0,0,0.0,5,0,0,0.0,38,0,0,0.0,11,0,0,0.0,16,0,2,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,53,0,0.4953,72,0
DER0001,DER,0.1705,0.0571,6,1490,7,3,0,0.4286,14,0,0,0.0,11,0,0,0.0,16,0,0,0.0,20,1,6,0.05,22,0,0,0.0,32,2,0,0.0625,2,0,0,0.0,127,43,0,0.3386,70,4
GAS0007,GAS,0.149,0.0571,8,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,0,3,0.0,16,0,0,0.0,28,8,0,0.2857,0,0,0,,71,22,0,0.3099,35,2
GEN0001,GEN,0.1495,0.0435,6,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,2,4,0.1538,13,0,0,0.0,55,4,0,0.0727,1,0,0,0.0,121,31,0,0.2562,46,2
MSK0008,MSK,0.1965,0.0,6,1420,0,0,0,,3,0,0,0.0,52,0,0,0.0,48,0,0,0.0,8,0,0,0.0,8,0,0,0.0,58,6,0,0.1034,0,0,0,,133,83,0,0.6241,111,0
MSK0013,MSK,0.2356,0.0543,5,1579,4,1,0,0.25,8,1,0,0.125,38,1,0,0.0263,33,1,0,0.0303,9,1,3,0.1111,13,0,0,0.0,59,3,1,0.0508,0,0,0,,151,66,0,0.4371,92,5
MSK0017,MSK,0.1606,0.0,3,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,0,0,0.0,17,0,5,0.0,11,0,0,0.0,79,3,2,0.038,0,0,0,,319,74,0,0.232,109,0
MSK0025,MSK,0.1627,0.0,1,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,5,0.0,13,0,0,0.0,40,1,1,0.025,0,0,0,,143,45,0,0.3147,93,0
MSK0026,MSK,0.2071,0.0417,4,1352,2,1,0,0.5,6,1,0,0.1667,52,1,0,0.0192,24,0,0,0.0,12,1,2,0.0833,7,0,0,0.0,41,2,0,0.0488,0,0,0,,127,52,0,0.4094,96,4
MSK0041,MSK,0.2056,0.037,2,1566,3,1,0,0.3333,12,0,0,0.0,44,1,0,0.0227,36,0,0,0.0,11,1,1,0.0909,9,0,0,0.0,63,0,1,0.0,2,1,0,0.5,142,55,0,0.3873,108,4
MSK0046,MSK,0.1478,0.0204,0,1252,2,0,0,0.0,6,0,0,0.0,15,1,0,0.0667,16,0,0,0.0,10,0,3,0.0,8,0,0,0.0,27,0,0,0.0,0,0,0,,187,53,0,0.2834,49,1
RES0012,RES,0.1995,0.0101,6,2095,3,0,0,0.0,12,0,0,0.0,54,0,0,0.0,20,1,0,0.05,10,0,6,0.0,14,0,0,0.0,93,6,0,0.0645,0,0,0,,325,83,0,0.2554,99,1
RES0021,RES,0.2067,0.0,2,1258,1,0,0,0.0,12,0,0,0.0,47,0,0,0.0,17,0,0,0.0,16,0,0,0.0,11,0,0,0.0,70,2,2,0.0286,0,0,0,,152,60,0,0.3947,93,0
RES0025,RES,0.1991,0.0267,4,1371,2,1,0,0.5,4,0,0,0.0,32,0,0,0.0,14,0,0,0.0,23,1,1,0.0435,25,1,0,0.04,29,2,0,0.069,0,0,0,,171,73,0,0.4269,75,2
RES0030,RES,0.129,0.012,2,1186,1,0,0,0.0,6,0,0,0.0,52,1,0,0.0192,12,0,0,0.0,12,0,3,0.0,23,0,0,0.0,34,2,0,0.0588,0,0,0,,112,68,0,0.6071,83,1
RES0047,RES,0.1355,0.0196,3,1697,7,0,0,0.0,10,1,0,0.1,48,0,0,0.0,14,0,0,0.0,22,1,5,0.0455,23,1,0,0.0435,40,2,0,0.05,1,0,0,0.0,259,96,0,0.3707,102,2
RES0051,RES,0.1579,0.0149,7,975,1,0,0,0.0,4,0,0,0.0,39,1,0,0.0256,15,0,0,0.0,8,0,3,0.0,13,0,0,0.0,51,7,0,0.1373,0,0,0,,81,52,0,0.642,67,1
RES0052,RES,0.2939,0.0,3,820,0,0,0,,1,0,0,0.0,27,0,0,0.0,12,0,0,0.0,7,0,2,0.0,9,1,0,0.1111,55,3,2,0.0545,0,0,0,,105,69,0,0.6571,47,0
RES0053,RES,0.2325,0.0874,11,1914,1,0,0,0.0,12,0,0,0.0,49,2,0,0.0408,23,2,0,0.087,18,5,2,0.2778,21,1,0,0.0476,76,6,0,0.0789,0,0,0,,149,56,0,0.3758,103,9
RES0059,RES,0.2146,0.0361,5,1342,7,1,0,0.1429,6,0,0,0.0,38,1,0,0.0263,17,0,0,0.0,14,1,2,0.0714,23,0,0,0.0,57,3,1,0.0526,1,0,0,0.0,142,65,0,0.4577,83,3
RES0062,RES,0.226,0.0084,0,1938,6,0,0,0.0,10,0,0,0.0,55,0,0,0.0,17,1,0,0.0588,25,0,6,0.0,29,0,0,0.0,60,0,0,0.0,6,0,0,0.0,215,84,0,0.3907,119,1
RES0071,RES,0.2577,0.029,2,1296,3,0,0,0.0,4,0,0,0.0,43,1,0,0.0233,16,1,0,0.0625,3,0,0,0.0,23,0,0,0.0,35,2,0,0.0571,0,0,0,,140,54,0,0.3857,69,2
RES0074,RES,0.283,0.0366,8,1219,1,1,0,1.0,7,0,0,0.0,33,1,0,0.0303,24,0,0,0.0,17,1,8,0.0588,18,0,0,0.0,54,6,0,0.1111,0,0,0,,132,48,0,0.3636,82,3
RES0083,RES,0.2338,0.026,2,971,10,2,0,0.2,7,0,0,0.0,32,0,0,0.0,15,0,0,0.0,13,0,1,0.0,13,0,0,0.0,29,0,0,0.0,0,0,0,,89,37,0,0.4157,77,2
RES0098,RES,0.1408,0.0106,1,1442,3,0,0,0.0,18,0,0,0.0,35,0,0,0.0,18,0,0,0.0,20,1,1,0.05,24,0,0,0.0,36,0,0,0.0,0,0,0,,163,51,0,0.3129,94,1
RES0100,RES,0.1818,0.0093,1,1722,0,0,0,,4,1,0,0.25,56,0,0,0.0,26,0,0,0.0,22,0,2,0.0,35,0,0,0.0,71,1,0,0.0141,0,0,0,,194,46,0,0.2371,108,1
RES0104,RES,0.1972,0.0217,2,1526,3,0,0,0.0,11,0,0,0.0,47,2,0,0.0426,17,0,0,0.0,14,0,2,0.0,20,0,0,0.0,52,2,0,0.0385,0,0,0,,169,65,0,0.3846,92,2
RES0106,RES,0.144,0.0116,3,1257,0,0,0,,5,0,0,0.0,39,1,0,0.0256,13,0,0,0.0,28,0,4,0.0,25,0,0,0.0,69,3,0,0.0435,1,0,0,0.0,141,62,0,0.4397,86,1
RES0109,RES,0.1594,0.0167,2,872,3,0,0,0.0,2,0,0,0.0,29,0,0,0.0,16,0,0,0.0,9,1,0,0.1111,11,0,0,0.0,44,1,2,0.0227,1,0,0,0.0,150,48,0,0.32,60,1
RES0118,RES,0.0948,0.0,1,981,0,0,0,,5,0,0,0.0,31,0,0,0.0,18,0,0,0.0,8,0,0,0.0,18,0,0,0.0,46,1,0,0.0217,0,0,0,,121,27,0,0.2231,62,0
RES0123,RES,0.1563,0.0112,1,1753,1,0,0,0.0,5,0,0,0.0,41,0,0,0.0,20,0,0,0.0,21,1,7,0.0476,22,0,0,0.0,59,0,3,0.0,1,0,0,0.0,228,95,0,0.4167,89,1
RES0127,RES,0.2041,0.0513,6,1421,1,0,0,0.0,8,1,0,0.125,40,1,0,0.025,18,1,0,0.0556,11,1,2,0.0909,25,0,0,0.0,53,5,0,0.0943,0,0,0,,177,44,0,0.2486,78,4
RES0132,RES,0.1402,0.0833,7,1391,5,2,0,0.4,17,2,0,0.1176,32,0,0,0.0,14,1,0,0.0714,16,2,0,0.125,20,2,0,0.1,40,3,0,0.075,0,0,0,,216,48,0,0.2222,84,7
RES0134,RES,0.1063,0.008,1,1741,3,0,0,0.0,10,0,0,0.0,65,0,0,0.0,23,0,0,0.0,24,1,1,0.0417,22,0,0,0.0,46,0,0,0.0,0,0,0,,243,68,0,0.2798,125,1
RES0143,RES,0.1472,0.038,8,1155,2,0,0,0.0,7,0,0,0.0,39,1,0,0.0256,18,1,0,0.0556,13,1,0,0.0769,23,0,0,0.0,51,7,3,0.1373,0,0,0,,165,83,0,0.503,79,3
RES0155,RES,0.1776,0.0123,1,1498,6,0,0,0.0,12,0,0,0.0,38,1,0,0.0263,10,0,0,0.0,14,0,0,0.0,16,0,0,0.0,44,1,0,0.0227,1,0,0,0.0,266,93,0,0.3496,81,1
RES0160,RES,0.159,0.0448,3,1107,2,1,0,0.5,6,0,0,0.0,37,1,0,0.027,8,0,0,0.0,14,1,3,0.0714,15,0,0,0.0,38,1,0,0.0263,0,0,0,,92,36,0,0.3913,67,3
RES0163,RES,0.1818,0.0741,0,1166,0,0,0,,5,0,0,0.0,26,2,0,0.0769,17,2,0,0.1176,6,0,0,0.0,19,0,0,0.0,42,0,2,0.0,0,0,0,,124,42,0,0.3387,54,4
RES0173,RES,0.1744,0.0597,7,1221,0,0,0,,6,0,0,0.0,39,1,0,0.0256,13,2,0,0.1538,8,1,0,0.125,13,0,0,0.0,53,6,0,0.1132,1,0,0,0.0,141,60,0,0.4255,67,4
RES0207,RES,0.1938,0.027,2,805,0,0,0,,6,0,0,0.0,20,1,0,0.05,4,0,0,0.0,7,0,0,0.0,10,0,0,0.0,37,2,1,0.0541,0,0,0,,92,38,0,0.413,37,1
