case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.216,0.0,0,1065,2,0,0,0.0,5,0,0,0.0,38,0,0,0.0,11,0,0,0.0,16,0,2,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,52,0,0.486,72,0
DER0001,DER,0.1329,0.0286,4,1490,7,1,0,0.1429,14,0,0,0.0,11,0,0,0.0,16,0,0,0.0,20,1,6,0.05,22,0,0,0.0,32,2,0,0.0625,2,0,0,0.0,127,43,0,0.3386,70,2
GAS0007,GAS,0.1422,0.0571,8,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,0,3,0.0,16,0,0,0.0,28,8,0,0.2857,0,0,0,,71,20,0,0.2817,35,2
GEN0001,GEN,0.1076,0.0,4,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,0,5,0.0,13,0,0,0.0,55,4,0,0.0727,1,0,0,0.0,121,32,0,0.2645,46,0
MSK0008,MSK,0.169,0.009,6,1420,0,0,0,,3,0,0,0.0,52,1,0,0.0192,48,0,0,0.0,8,0,3,0.0,8,0,0,0.0,58,6,0,0.1034,0,0,0,,133,82,0,0.6165,111,1
MSK0013,MSK,0.1925,0.0543,7,1579,4,1,0,0.25,8,1,0,0.125,38,1,0,0.0263,33,1,0,0.0303,9,1,3,0.1111,13,0,0,0.0,59,5,1,0.0847,0,0,0,,151,66,0,0.4371,92,5
MSK0017,MSK,0.1611,0.0,3,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,0,0,0.0,17,0,5,0.0,11,0,0,0.0,79,3,2,0.038,0,0,0,,319,109,0,0.3417,109,0
MSK0025,MSK,0.1614,0.0,2,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,0,0,0.0,20,0,3,0.0,13,0,0,0.0,40,2,2,0.05,0,0,0,,143,43,0,0.3007,93,0
MSK0026,MSK,0.1886,0.0521,6,1352,2,1,0,0.5,6,1,0,0.1667,52,1,0,0.0192,24,0,0,0.0,12,2,2,0.1667,7,0,0,0.0,41,3,0,0.0732,0,0,0,,127,54,0,0.4252,96,5
MSK0041,MSK,0.1552,0.037,8,1566,3,1,0,0.3333,12,0,0,0.0,44,1,0,0.0227,36,0,0,0.0,11,1,1,0.0909,9,0,0,0.0,63,6,2,0.0952,2,1,0,0.5,142,63,0,0.4437,108,4
MSK0046,MSK,0.1302,0.0,0,1252,2,0,0,0.0,6,0,0,0.0,15,0,0,0.0,16,0,0,0.0,10,0,3,0.0,8,0,0,0.0,27,0,0,0.0,0,0,0,,187,58,0,0.3102,49,0
RES0012,RES,0.1733,0.0404,8,2095,3,0,0,0.0,12,1,0,0.0833,54,1,0,0.0185,20,1,0,0.05,10,1,6,0.1,14,0,0,0.0,93,7,0,0.0753,0,0,0,,325,100,0,0.3077,99,4
RES0021,RES,0.1876,0.0,4,1258,1,0,0,0.0,12,0,0,0.0,47,0,0,0.0,17,0,0,0.0,16,0,0,0.0,11,0,0,0.0,70,4,1,0.0571,0,0,0,,152,60,0,0.3947,93,0
RES0025,RES,0.1969,0.0267,4,1371,2,1,0,0.5,4,0,0,0.0,32,0,0,0.0,14,0,0,0.0,23,1,1,0.0435,25,1,0,0.04,29,2,0,0.069,0,0,0,,171,73,0,0.4269,75,2
RES0030,RES,0.1248,0.012,2,1186,1,0,0,0.0,6,0,0,0.0,52,1,0,0.0192,12,0,0,0.0,12,0,3,0.0,23,0,0,0.0,34,2,0,0.0588,0,0,0,,112,69,0,0.6161,83,1
RES0047,RES,0.1556,0.0392,5,1697,7,1,0,0.1429,10,1,0,0.1,48,0,0,0.0,14,0,0,0.0,22,2,1,0.0909,23,1,0,0.0435,40,2,0,0.05,1,0,0,0.0,259,135,0,0.5212,102,4
RES0051,RES,0.2318,0.0448,6,975,1,0,0,0.0,4,0,0,0.0,39,1,0,0.0256,15,1,0,0.0667,8,1,2,0.125,13,0,0,0.0,51,5,0,0.098,0,0,0,,81,49,0,0.6049,67,3
RES0052,RES,0.2512,0.0,4,820,0,0,0,,1,0,0,0.0,27,0,0,0.0,12,0,0,0.0,7,0,2,0.0,9,1,0,0.1111,55,4,1,0.0727,0,0,0,,105,68,0,0.6476,47,0
