case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
CAR0002,CAR,0.2676,0.0139,1,1065,2,1,0,0.5,5,0,0,0.0,38,0,0,0.0,11,0,0,0.0,16,0,2,0.0,19,0,0,0.0,21,0,0,0.0,0,0,0,,107,52,0,0.486,72,1
DER0001,DER,0.1604,0.0429,5,1490,7,3,0,0.4286,14,0,0,0.0,11,0,0,0.0,16,0,0,0.0,20,0,6,0.0,22,0,0,0.0,32,2,0,0.0625,2,0,0,0.0,127,41,0,0.3228,70,3
GAS0007,GAS,0.1467,0.0857,10,886,2,0,0,0.0,3,0,0,0.0,7,1,0,0.1429,8,1,0,0.125,15,1,1,0.0667,16,0,0,0.0,28,9,0,0.3214,0,0,0,,71,22,0,0.3099,35,3
GEN0001,GEN,0.1249,0.0217,6,1097,3,0,0,0.0,5,0,0,0.0,10,0,0,0.0,14,0,0,0.0,13,1,4,0.0769,13,0,0,0.0,55,5,0,0.0909,1,0,0,0.0,121,34,0,0.281,46,1
MSK0008,MSK,0.2352,0.018,10,1420,0,0,0,,3,0,0,0.0,52,1,0,0.0192,48,0,0,0.0,8,1,1,0.125,8,0,0,0.0,58,9,0,0.1552,0,0,0,,133,78,0,0.5865,111,2
MSK0013,MSK,0.1906,0.0435,2,1579,4,1,0,0.25,8,0,0,0.0,38,1,0,0.0263,33,1,0,0.0303,9,1,3,0.1111,13,0,0,0.0,59,0,1,0.0,0,0,0,,151,75,0,0.4967,92,4
MSK0017,MSK,0.2139,0.0183,3,1800,0,0,0,,4,0,0,0.0,50,0,0,0.0,38,1,0,0.0263,17,1,5,0.0588,11,0,0,0.0,79,2,4,0.0253,0,0,0,,319,127,0,0.3981,109,2
MSK0025,MSK,0.1765,0.0215,1,1524,2,0,0,0.0,2,0,0,0.0,40,0,0,0.0,29,2,0,0.069,20,0,3,0.0,13,0,0,0.0,40,1,1,0.025,0,0,0,,143,44,0,0.3077,93,2
MSK0026,MSK,0.2478,0.0417,2,1352,2,1,0,0.5,6,1,0,0.1667,52,1,0,0.0192,24,0,0,0.0,12,1,3,0.0833,7,0,0,0.0,41,0,0,0.0,0,0,0,,127,54,0,0.4252,96,4
MSK0041,MSK,0.196,0.0185,3,1566,3,1,0,0.3333,12,0,0,0.0,44,0,0,0.0,36,1,0,0.0278,11,0,2,0.0,9,0,0,0.0,63,2,1,0.0317,2,0,0,0.0,142,64,0,0.4507,108,2
