case,category,wer,clinical_rate,critical_n,ref_words,medication_n,medication_err,medication_norm,medication_rate,condition_n,condition_err,condition_norm,condition_rate,symptom_n,symptom_err,symptom_norm,symptom_rate,anatomy_n,anatomy_err,anatomy_norm,anatomy_rate,number_n,number_err,number_norm,number_rate,temporal_n,temporal_err,temporal_norm,temporal_rate,negation_n,negation_err,negation_norm,negation_rate,unit_n,unit_err,unit_norm,unit_rate,filler_n,filler_err,filler_norm,filler_rate,clinical_n,clinical_err
RES0100,RES,0.1156,0.0093,3,1722,0,0,0,,4,1,0,0.25,56,0,0,0.0,26,0,0,0.0,22,0,2,0.0,35,0,0,0.0,71,3,0,0.0423,0,0,0,,194,56,0,0.2887,108,1
RES0104,RES,0.1258,0.0109,3,1526,3,0,0,0.0,11,0,0,0.0,47,1,0,0.0213,17,0,0,0.0,14,0,1,0.0,20,0,0,0.0,52,3,0,0.0577,0,0,0,,169,74,0,0.4379,92,1
RES0106,RES,0.1504,0.0233,5,1257,0,0,0,,5,0,0,0.0,39,1,0,0.0256,13,0,0,0.0,28,1,4,0.0357,25,0,0,0.0,69,4,0,0.058,1,0,0,0.0,141,68,0,0.4823,86,2
RES0109,RES,0.1617,0.0,2,872,3,0,0,0.0,2,0,0,0.0,29,0,0,0.0,16,0,0,0.0,9,0,0,0.0,11,0,0,0.0,44,2,1,0.0455,1,0,0,0.0,150,89,0,0.5933,60,0
RES0118,RES,0.1264,0.0161,4,981,0,0,0,,5,0,0,0.0,31,1,0,0.0323,18,0,0,0.0,8,0,0,0.0,18,0,0,0.0,46,4,0,0.087,0,0,0,,121,82,0,0.6777,62,1
RES0123,RES,0.1569,0.0337,8,1753,1,0,0,0.0,5,1,0,0.2,41,0,0,0.0,20,0,0,0.0,21,2,1,0.0952,22,0,0,0.0,59,6,1,0.1017,1,0,0,0.0,228,134,0,0.5877,89,3
RES0127,RES,0.1626,0.0513,7,1421,1,1,0,1.0,8,1,0,0.125,40,1,0,0.025,18,0,0,0.0,11,1,2,0.0909,25,0,0,0.0,53,5,0,0.0943,0,0,0,,177,42,0,0.2373,78,4
RES0132,RES,0.1215,0.0238,5,1391,5,2,0,0.4,17,0,0,0.0,32,0,0,0.0,14,0,0,0.0,16,0,0,0.0,20,0,0,0.0,40,3,0,0.075,0,0,0,,216,112,0,0.5185,84,2
RES0134,RES,0.1172,0.008,1,1741,3,0,0,0.0,10,0,0,0.0,65,0,0,0.0,23,0,0,0.0,24,1,1,0.0417,22,0,0,0.0,46,0,0,0.0,0,0,0,,243,117,0,0.4815,125,1
RES0143,RES,0.1394,0.0127,7,1155,2,0,0,0.0,7,0,0,0.0,39,0,0,0.0,18,0,0,0.0,13,1,0,0.0769,23,0,0,0.0,51,6,3,0.1176,0,0,0,,165,81,0,0.4909,79,1
RES0155,RES,0.1983,0.0123,2,1498,6,0,0,0.0,12,0,0,0.0,38,1,0,0.0263,10,0,0,0.0,14,0,0,0.0,16,0,0,0.0,44,2,0,0.0455,1,0,0,0.0,266,175,0,0.6579,81,1
RES0160,RES,0.1229,0.0448,4,1107,2,1,0,0.5,6,0,0,0.0,37,1,0,0.027,8,0,0,0.0,14,1,2,0.0714,15,0,0,0.0,38,2,0,0.0526,0,0,0,,92,33,0,0.3587,67,3
RES0163,RES,0.1115,0.037,2,1166,0,0,0,,5,0,0,0.0,26,1,0,0.0385,17,1,0,0.0588,6,0,0,0.0,19,0,0,0.0,42,2,1,0.0476,0,0,0,,124,25,0,0.2016,54,2
RES0173,RES,0.1695,0.0448,7,1221,0,0,0,,6,0,0,0.0,39,0,0,0.0,13,2,0,0.1538,8,1,0,0.125,13,0,0,0.0,53,6,0,0.1132,1,0,0,0.0,141,62,0,0.4397,67,3
RES0207,RES,0.1416,0.0541,2,805,0,0,0,,6,1,0,0.1667,20,1,0,0.05,4,0,0,0.0,7,0,0,0.0,10,0,0,0.0,37,2,0,0.0541,0,0,0,,92,47,0,0.5109,37,2
